"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,data_extraction_form,,text,"Record ID (Author_Year)",,,,,,,,,,,,,
paper_type,data_extraction_form,,radio,"What research domain?

You can change this designation if you disagree with the label.","1, Health Sciences | 2, Social Sciences | 3, Legal",,,,,,,,,,,,
cc,data_extraction_form,,yesno,"Citation chaining?

Ignore this field. Colleen uses this to track papers that come from citation chaining.",,,,,,,,,,,,," @HIDDEN"
name,data_extraction_form,,text,"First name of data extractor
",,,,,,,,,,,,,
dv_name,data_extraction_form,,text,"First name of data validator
",,,,,,,,,,,,,
pdf,data_extraction_form,,file,"PDF of article

If no file uploaded or the incorrect file is uploaded you can find all files in the  <a href=""https://drive.google.com/drive/folders/159mED7pQiXchPndAoq3_3SXPDXUBEWFr?usp=sharing"" target=""_blank"">GoogleDrive folder</a>",,,,,,,,,,,,,
exclusions,data_extraction_form,Exclusions,yesno,"Should this study/articles be excluded?

 <a href=""https://docs.google.com/document/d/1Ncf7RztcNs9NP0CynbRpuTMc95OAR5N3vmU98PBPIB8/edit?usp=sharing"" target=""blank"">Click here for a description of study inclusion/exclusion criteria</a>

",,,,,,,,,,,,,
exclusions_reason,data_extraction_form,,radio,"Why should this article be excluded?

 <a href=""https://docs.google.com/spreadsheets/d/1vRpAQV4JExKIOJauMbs5Py6NdKQnOfJ1L6JBSRyV4mE/edit#gid=1024004368"" target=""blank"">Click here for a description of the exclusion reasons</a>


","1, Wrong publication type | 2, Non-opioid | 3, No legal approach | 4, Historical | 5, Foreign policy | 6, Implementation | 7, Efficacy | 8, Theoretical | 9, Ongoing | 10, Foreign Language | 11, Full-text not available | 12, Duplicate",,,,,,"[exclusions] = '1'",,,,,,
country_exclude,data_extraction_form,,dropdown,"Specify the country of the historical review
","1, Afghanistan | 2, Albania | 3, Algeria | 4, Angola | 5, Antigua and Barbuda | 6, Argentina | 7, Armenia | 8, Australia | 9, Austria | 10, Azerbaijan | 11, The Bahamas | 12, Bahrain | 13, Bangladesh | 14, Barbados | 15, Belarus | 16, Belgium | 17, Belize | 18, Benin | 19, Bhutan | 20, Bolivia | 21, Bosnia and Herzegovina | 22, Botswana | 23, Brazil | 24, Brunei | 25, Bulgaria | 26, Burkina Faso | 27, Burundi | 28, Cambodia | 29, Cameroon | 30, Canada | 31, Cape Verde | 32, Central African Republic | 33, Chad | 34, Chile | 35, Colombia | 36, Comoros | 37, Democratic Republic of the Congo | 38, Republic of the Congo | 39, Costa Rica | 40, Côte d'Ivoire | 41, Croatia | 42, Cyprus | 43, Czech Republic | 44, Denmark | 45, Djibouti | 46, Dominica | 47, Dominican Republic | 48, East Timor | 49, Ecuador | 50, Egypt | 51, El Salvador | 52, Equatorial Guinea | 53, Eritrea | 54, Estonia | 55, Ethiopia | 56, Fiji | 57, Finland | 58, France | 59, Gabon | 60, Gambia | 61, Georgia | 62, Germany | 63, Ghana | 64, Greece | 65, Grenada | 66, Guatemala | 67, Guinea | 68, Guinea-Bissau | 69, Guyana | 70, Haiti | 71, Honduras | 72, Hungary | 73, Iceland | 74, India | 75, Indonesia | 76, Iran | 77, Iraq | 78, Ireland | 79, Israel | 80, Italy | 81, Jamaica | 82, Japan | 83, Jordan | 84, Kazakhstan | 85, Kenya | 86, Kiribati | 87, Kosovo | 88, Kuwait | 89, Kyrgyzstan | 90, Laos | 91, Latvia | 92, Lebanon | 93, Lesotho | 94, Liberia | 95, Libya | 96, Lithuania | 97, Luxembourg | 98, Macedonia | 99, Madagascar | 100, Malawi | 101, Malaysia | 102, Maldives | 103, Mali | 104, Malta | 105, Marshall Islands | 106, Mauritania | 107, Mauritius | 108, Mexico | 109, Federated States of Micronesia | 110, Moldova | 111, Mongolia | 112, Montenegro | 113, Morocco | 114, Mozambique | 115, Myanmar | 116, Namibia | 117, Nauru | 118, Nepal | 119, Netherlands | 120, New Zealand | 121, Nicaragua | 122, Niger | 123, Nigeria | 124, Norway | 125, Oman | 126, Pakistan | 127, Palau | 128, Panama | 129, Papua New Guinea | 130, Paraguay | 131, People's Republic of China | 132, Peru | 190, Puerto Rico | 133, Philippines | 134, Poland | 135, Portugal | 136, Qatar | 137, Romania | 138, Russia | 139, Rwanda | 140, Saint Kitts and Nevis | 141, Saint Lucia | 142, Saint Vincent and the Grenadines | 143, Samoa | 144, San Marino | 145, São Tomé and Príncipe | 146, Saudi Arabia | 147, Senegal | 148, Serbia | 149, Seychelles | 150, Sierra Leone | 151, Singapore | 152, Slovakia | 153, Slovenia | 154, Solomon Islands | 155, Somalia | 156, South Africa | 157, South Korea | 158, South Sudan | 159, Spain | 160, Sri Lanka | 161, Sudan | 162, Suriname | 163, Swaziland | 164, Sweden | 165, Switzerland | 166, Syria | 167, Tajikistan | 168, Tanzania | 169, Thailand | 170, Togo | 171, Tonga | 172, Trinidad and Tobago | 173, Tunisia | 174, Turkey | 175, Turkmenistan | 176, Tuvalu | 177, Uganda | 178, Ukraine | 179, United Arab Emirates | 180, United Kingdom | 181, United States | 182, Uruguay | 183, Uzbekistan | 184, Vanuatu | 185, Venezuela | 186, Vietnam | 187, Yemen | 188, Zambia | 189, Zimbabwe",,autocomplete,,,,"[exclusions_reason] = '4'",,,,,,
comments_exclusion,data_extraction_form,,notes,"Comments on why it should be excluded?",,,,,,,"[exclusions] = '1'",,,,,,
year_pub,data_extraction_form,"Basic Article Information",text,"Year Published",,,,,,,,,,,,,
country_yn,data_extraction_form,,yesno,"Is the data presented in the study/article from only one country? 
",,,,,,,,,,,,,
