record_id,policy_type,policy_op,policy_specific,policy_specific_new,outcomes_yn,out_op,out_specific,out_code,out_code_name,impact_var,other_outcome,impact
Abadie_2018,8_strategies,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcomes_treatment,2_oat,2,oat,impact_tfo,,2_decrease
Abadie_2018,8_strategies,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcome_type,9090_Incarceration & incarceration-related environments,999,other 1,impact_other,9090_Incarceration & incarceration-related environments,999_unclear
Abadie_2018,8_strategies,policy_harm,1_needle exchange/availability,1_needle exchange/availability,1,outcomes_treatment,2_oat,2,oat,impact_tfo,,2_decrease
Abadie_2018,8_strategies,policy_harm,1_needle exchange/availability,1_needle exchange/availability,1,outcome_type,9090_Incarceration & incarceration-related environments,999,other 1,impact_other,9090_Incarceration & incarceration-related environments,999_unclear
Abouk_2019,2_legislations,policy_harm,9090_naloxone access laws,9090_naloxone_access_policies,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,,2_decrease
Abouk_2019,4_government policy,policy_harm,9090_naloxone access laws,9090_naloxone_access_policies,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,,2_decrease
Abramson_2009,1_legal,policy_harm,1_needle exchange/availability,1_needle exchange/availability,0,,,,,,,
Abramson_2009,1_legal,policy_criminal,9090_Availability of harm reduction in corrections facilities,9090_Availability of harm reduction in corrections facilities,0,,,,,,,
Abramson_2009,1_legal,policy_theme,9090_International human rights treaties,9090_International human rights treaties,0,,,,,,,
Abramson_2009,4_government policy,policy_harm,1_needle exchange/availability,1_needle exchange/availability,0,,,,,,,
Abramson_2009,4_government policy,policy_criminal,9090_Availability of harm reduction in corrections facilities,9090_Availability of harm reduction in corrections facilities,0,,,,,,,
Abramson_2009,4_government policy,policy_theme,9090_International human rights treaties,9090_International human rights treaties,0,,,,,,,
Accurso_2016,7_programs,policy_theme,9090_Private insurance coverage changes,9090_Private insurance coverage changes,1,outcomes_treatment,9090_2_Retention in OAT,998,other 2,impact_of_2,9090_2_Retention in OAT,
Accurso_2016,7_programs,policy_theme,9090_Private insurance coverage changes,9090_Private insurance coverage changes,1,outcome_type,9090_Aberrant urine drug test rates,999,other 1,impact_other,9090_Aberrant urine drug test rates,1_increase
Aguiar_2016,2_legislations,policy_criminal,9090_Parenting Sentencing Alternative,9090_Parenting Sentencing Alternative,1,outcome_type,5_criminal activity,5,criminal activity,impact_crim,,2_decrease
Ahammer_2019,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,9090_Benzodiazepine usage,999,other 1,impact_pres_other,9090_Benzodiazepine usage,2_decrease
Ahammer_2019,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,9090_Benzodiazepine usage,999,other 1,impact_pres_other,9090_Benzodiazepine usage,3_beneficial
Aitken_2002,7_programs,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcome_illegal,1_injection drug use,1,injection drug use,impact_idu,,4_detrimental
Aitken_2002,7_programs,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcome_type,9090_Displacement of areas of drug use,999,other 1,impact_other,9090_Displacement of areas of drug use,4_detrimental
Aitken_2002,7_programs,policy_law_enforce,2_police presence,2_police presence,1,outcome_illegal,1_injection drug use,1,injection drug use,impact_idu,,4_detrimental
Aitken_2002,7_programs,policy_law_enforce,2_police presence,2_police presence,1,outcome_type,9090_Displacement of areas of drug use,999,other 1,impact_other,9090_Displacement of areas of drug use,4_detrimental
Al Achkar_2018,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,5_opioid prescription fills,5,opioid prescription fills,impact_ou,,2_decrease
Alburaih_2018,7_programs,policy_theme,9090_Standardised pain contract,9090_Standardised pain contract,1,outcome_type,9090_ED attendance,999,other 1,impact_other,9090_ED attendance,2_decrease
Alburaih_2018,7_programs,policy_theme,9090_Standardised pain contract,9090_Standardised pain contract,1,outcome_type,9090_ED attendance,999,other 1,impact_other,9090_ED attendance,3_beneficial
Aletraris_2017,2_legislations,policy_social,2_medical insurance changes,2_medical insurance changes,1,outcomes_treatment,2_oat,2,oat,impact_tfo,,0_no change
Aletraris_2017,2_legislations,policy_social,2_medical insurance changes,2_medical insurance changes,1,outcomes_treatment,2_oat,2,oat,impact_tfo,,1_increase
Aletraris_2017,2_legislations,policy_social,2_medical insurance changes,2_medical insurance changes,1,outcome_type,"9090_Support for medical model of substance use treatment, 12-step programs",999,other 1,impact_other,"9090_Support for medical model of substance use treatment, 12-step programs",1_increase
