record_id,redcap_event_name.factor,redcap_repeat_instrument.factor,redcap_repeat_instance,paper_type.factor,name,dv_name,year_pub,country_yn.factor,country.factor,competing_interests_yn.factor,competing_interests.factor,empirical.factor,year_study,appeal_yn.factor,comments,data_extraction_form_complete,country_region,target_substance,population_specific,population_specific_affect,study_design,data_sources,analysis,country_income
Abadie_2018,Data Extraction,,,Social Sciences,Mina and Jane - Pilot,,2018,Yes,Puerto Rico,No,,empirical,2016,,Strategy = War on Drugs,2,3_Latin America,a_opioids,1_people who use illegal drugs,,4_cohort study,2_qualitative,8_qualitative,1_High Income
Abadie_2018,Data Extraction,,,Social Sciences,Mina and Jane - Pilot,,2018,Yes,Puerto Rico,No,,empirical,2016,,Strategy = War on Drugs,2,,,6_people who have been incarcerated,,,,999_other,1_High Income
Abadie_2018,Data Extraction,,,Social Sciences,Mina and Jane - Pilot,,2018,Yes,Puerto Rico,No,,empirical,2016,,Strategy = War on Drugs,2,,,,,,,9090_enthnographic inquiry,1_High Income
Abouk_2019,Data Extraction,,,Health Sciences,Roshni,,2019,Yes,United States,Yes,Yes,empirical,2016,,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,5_North America,a_opioids,0_general pop,0_general pop,6_ecological,1_adminstrative data,1_hypothesis testing,1_High Income
Abouk_2019,Data Extraction,,,Health Sciences,Roshni,,2019,Yes,United States,Yes,Yes,empirical,2016,,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,,,1_people who use illegal drugs,1_people who use illegal drugs,8_ecological geographic,,4_comparative,1_High Income
Abouk_2019,Data Extraction,,,Health Sciences,Roshni,,2019,Yes,United States,Yes,Yes,empirical,2016,,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,,,2_clinical practitioners,,,,5_longitudinal,1_High Income
Abramson_2009,Data Extraction,,,Legal,Scott,,2009,Yes,United States,No,,non-empirical,,No,,2,5_North America,a_opioids,999_other,1_people who use illegal drugs,,,,1_High Income
Abramson_2009,Data Extraction,,,Legal,Scott,,2009,Yes,United States,No,,non-empirical,,No,,2,,d_cocaine,9090_Corrections management,3_women,,,,1_High Income
Abramson_2009,Data Extraction,,,Legal,Scott,,2009,Yes,United States,No,,non-empirical,,No,,2,,,,5_indgenous,,,,1_High Income
Abramson_2009,Data Extraction,,,Legal,Scott,,2009,Yes,United States,No,,non-empirical,,No,,2,,,,6_people who have been incarcerated,,,,1_High Income
Abramson_2009,Data Extraction,,,Legal,Scott,,2009,Yes,United States,No,,non-empirical,,No,,2,,,,7_chronic opioid users,,,,1_High Income
Accurso_2016,Data Extraction,,,Health Sciences,Mina and Jane - Pilot,,2016,Yes,United States,No,,empirical,2013,,,2,5_North America,a_opioids,7_chronic opioid users,,4_cohort study,4_census,2_estimates of rates,1_High Income
Accurso_2016,Data Extraction,,,Health Sciences,Mina and Jane - Pilot,,2016,Yes,United States,No,,empirical,2013,,,2,,,,,,,,1_High Income
Aguiar_2016,Data Extraction,,,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,,empirical,2012,,Odds of being convicted for a new felony,2,5_North America,a_opioids,1_people who use illegal drugs,1_people who use illegal drugs,4_cohort study,1_adminstrative data,6_estimates of risk,1_High Income
Aguiar_2016,Data Extraction,,,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,,empirical,2012,,Odds of being convicted for a new felony,2,,b_cannabis,6_people who have been incarcerated,6_people who have been incarcerated,,,,1_High Income
Aguiar_2016,Data Extraction,,,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,,empirical,2012,,Odds of being convicted for a new felony,2,,c_meth,,,,,,1_High Income
Aguiar_2016,Data Extraction,,,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,,empirical,2012,,Odds of being convicted for a new felony,2,,d_cocaine,,,,,,1_High Income
Aguiar_2016,Data Extraction,,,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,,empirical,2012,,Odds of being convicted for a new felony,2,,e_benzo,,,,,,1_High Income
Aguiar_2016,Data Extraction,,,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,,empirical,2012,,Odds of being convicted for a new felony,2,,f_other,,,,,,1_High Income
Ahammer_2019,Data Extraction,,,Social Sciences,Jane,Zahra,2019,Yes,Austria,No,,empirical,2015,,Since 2012 public health officer must authorize and countersign all prescriptions of Flunitrazepam ( strong benzo) to prevent ODs with concurrent opioids,2,2_Europe & Central Asia,e_benzo,0_general pop,7_chronic opioid users,6_ecological,1_adminstrative data,2_estimates of rates,1_High Income
Ahammer_2019,Data Extraction,,,Social Sciences,Jane,Zahra,2019,Yes,Austria,No,,empirical,2015,,Since 2012 public health officer must authorize and countersign all prescriptions of Flunitrazepam ( strong benzo) to prevent ODs with concurrent opioids,2,,,,,,,5_longitudinal,1_High Income
Aitken_2002,Data Extraction,,,Health Sciences,Trevor,,2002,Yes,Australia,No,,empirical,2000,,the operation discouraged safe injecting practice and safe disposal and increased the frequency of occurrences of violence,2,1_East Asia & Pacific,a_opioids,1_people who use illegal drugs,1_people who use illegal drugs,4_cohort study,2_qualitative,8_qualitative,1_High Income
