record_id,Reference,,,,,,,
Abadie_2018,"Abadie, R., Gelpi-Acosta, C., Davila, C., Rivera, A., Welch-Lazoritz, M., & Dombrowski, K. (2018). “It Ruined My Life”: The effects of the War on Drugs on people who inject drugs (PWID) in rural Puerto Rico. International Journal of Drug Policy, 51, 121–127.",,,,,,,
Abouk_2019,"Abouk, R., Pacula, R. L., & Powell, D. (2019). Association Between State Laws Facilitating Pharmacy Distribution of Naloxone and Risk of Fatal Overdose. JAMA Intern Med, 179(6), 805–811. https://doi.org/10.1001/jamainternmed.2019.0272",,,,,,,
Abramson_2009,"Abramson, K. (2009). Unfairly Condemned to Disease: The Argument for Needle-Exchange Programs in United States Prisoner Note. Geo. J. on Poverty L. & Pol’y, 16, 695–720.",,,,,,,
Accurso_2016,"Accurso, A. J., & Rastegar, D. A. (2016). The Effect of a Payer-Mandated Decrease in Buprenorphine Dose on Aberrant Drug Tests and Treatment Retention Among Patients with Opioid Dependence. Journal of Substance Abuse Treatment, 61, 74–79.",,,,,,,
Aguiar_2016,"Aguiar, C. M., & Leavell, S. (2017). A Statewide Parenting Alternative Sentencing Program: Description and Preliminary Outcomes. Smith College Studies in Social Work, 87(1), 78–93. https://doi.org/10.1080/00377317.2017.1248629",,,,,,,
Ahammer_2019,"Ahammer, A. (2019). A novel supply-side measure to combat abuse of addictive prescription drugs. https://EconPapers.repec.org/RePEc:jku:econwp:2019_11",,,,,,,
Aitken_2002,"Aitken, C., Moore, D., Higgs, P., Kelsall, J., & Kerger, M. (2002). The impact of a police crackdown on a street drug scene: Evidence from the street. International Journal of Drug Policy, 13(3), 189–198.",,,,,,,
Al Achkar_2018,"Al Achkar, M., Grannis, S., Revere, D., MacKie, P., Howard, M., & Gupta, S. (2018). The effects of state rules on opioid prescribing in Indiana. BMC Health Services Research, 18(1), 29.",,,,,,,
Alburaih_2018,"Alburaih, A., & Witting, M. D. (2018). Effectiveness of a Rural Emergency Department (ED)-Based Pain Contract on ED Visits Among ED Frequent Users. Journal of Emergency Medicine, 55(3), 327-332.e321. https://doi.org/10.1016/j.jemermed.2018.04.056",,,,,,,
Aletraris_2017,"Aletraris, L., Roman, P. M., & Pruett, J. (2017). Integration of Care in the Implementation of the Affordable Care Act: Changes in Treatment Services in a National Sample of Centers Treating Substance Use Disorders. Journal of Psychoactive Drugs, 49(2), 132–140.",,,,,,,
Alexander_2014,"Alexander, M. B. (2014). Denying the Dyad: How Criminalizing Pregnant Use Harms the Baby, Taxpayers and Vulnerable Women. Tennessee Law Review, 82, 745–790.",,,,,,,
Alexandridis_2018,"Alexandridis, A. A., McCort, A., Ringwalt, C. L., Sachdeva, N., Sanford, C., Marshall, S. W., Mack, K., & Dasgupta, N. (2018). A statewide evaluation of seven strategies to reduce opioid overdose in North Carolina. Injury Prevention, 24(1), 48–54.",,,,,,,
Alexandridis_2019,"Alexandridis, A. A., Dasgupta, N., McCort, A. D., Ringwalt, C. L., Rosamond, W. D., Chelminski, P. R., & Marshall, S. W. (2019). Associations between implementation of Project Lazarus and opioid analgesic dispensing and buprenorphine utilization in North Carolina, 2009-2014. Inj Epidemiol, 6(1), 2. https://doi.org/10.1186/s40621-018-0179-2",,,,,,,
Ali_2017,"Ali, M. M., Dowd, W. N., Classen, T., Mutter, R., & Novak, S. P. (2017). Prescription drug monitoring programs, nonmedical use of prescription drugs, and heroin use: Evidence from the National Survey of Drug Use and Health. Addict Behav, 69, 65–77. https://doi.org/10.1016/j.addbeh.2017.01.011",,,,,,,
Allen_2016,"Allen, S. T., Ruiz, M. S., Jones, J., & Turner, M. M. (2016). Legal space for syringe exchange programs in hot spots of injection drug use-related crime. Harm Reduction Journal, 13, 16.",,,,,,,
Allen_2019,"Allen, B., Harocopos, A., & Chernick, R. (2019). Substance Use Stigma, Primary Care, and the New York State Prescription Drug Monitoring Program. Behavioral medicine (Washington, D.C.), 46(1), 52–62. https://doi.org/10.1080/08964289.2018.1555129",,,,,,,
Almarsdottir_2000,"Almarsdottir, A. B., & Grimsson, A. (2000). Over-the-counter codeine use in Iceland: The impact of increased access. Scandinavian Journal of Public Health, 28(4), 270–274. MEDLINE.",,,,,,,
Alpert_2017,"Alpert, A., Powell, D., & Pacula, R. L. (2017). Supply-Side Drug Policy in the Presence of Substitutes. NBER
Working Paper Series, No. 23031. https://www.rand.org/pubs/external_publications/EP67579.html ",,,,,,,
Alsirafy_2011,"Alsirafy, S. A., El-Mesidi, S. M., El-Sherief, W. A., Galal, K. M., Abou-Elela, E. N., & Aklan, N. A. (2011). Opioid needs of patients with advanced cancer and the morphine dose-limiting law in Egypt. Journal of Palliative Medicine, 14(1), 51–54.",,,,,,,
Anders_2019,"Anders, J. (2019). Medicaid, marijuana and opioids: Is prescription access to blame? (SSRN Scholarly Paper ID 3247989). Social Science Research Network. https://papers.ssrn.com/abstract=3247989",,,,,,,
Andraka-Christou_2016,"Andraka-Christou, B. (2016b). Improving Drug Courts through Medication-Assisted Treatment for Addiction. Virginia Journal of Social Policy & the Law, 23, 179–230.",,,,,,,
Andraka-Christou_2016a,"Andraka-Christou, B. (2016a). America Needs the TREAT Act: Expanding Access to Effective Medication for Treating Addiction. Health Matrix: Journal of Law-Medicine, 26, 309–362.",,,,,,,
