record_id,redcap_event_name.factor,redcap_repeat_instrument.factor,redcap_repeat_instance,paper_type.factor,name,dv_name,year_pub,country_yn.factor,country.factor,competing_interests_yn.factor,competing_interests.factor,empirical.factor,year_study,appeal_yn.factor,comments,data_extraction_form_complete,country_income,country_region,target_substance,population_specific,population_specific_affect,study_design,data_sources,analysis
Abadie_2018,Data Extraction,NA,NA,Social Sciences,Mina and Jane - Pilot,NA,2018,Yes,Puerto Rico,No,NA,empirical,2016,NA,Strategy = War on Drugs,2,1_High Income,3_Latin America,a_opioids,1_people who use illegal drugs,NA,4_cohort study,2_qualitative,8_qualitative
Abadie_2018,Data Extraction,NA,NA,Social Sciences,Mina and Jane - Pilot,NA,2018,Yes,Puerto Rico,No,NA,empirical,2016,NA,Strategy = War on Drugs,2,NA,NA,NA,6_people who have been incarcerated,NA,NA,NA,999_other
Abadie_2018,Data Extraction,NA,NA,Social Sciences,Mina and Jane - Pilot,NA,2018,Yes,Puerto Rico,No,NA,empirical,2016,NA,Strategy = War on Drugs,2,NA,NA,NA,NA,NA,NA,NA,9090_enthnographic inquiry
Abouk_2019,Data Extraction,NA,NA,Health Sciences,Roshni,NA,2019,Yes,United States,Yes,Yes,empirical,2016,NA,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,1_High Income,5_North America,a_opioids,0_general pop,0_general pop,6_ecological,1_adminstrative data,1_hypothesis testing
Abouk_2019,Data Extraction,NA,NA,Health Sciences,Roshni,NA,2019,Yes,United States,Yes,Yes,empirical,2016,NA,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,NA,NA,NA,1_people who use illegal drugs,1_people who use illegal drugs,8_ecological geographic,NA,4_comparative
Abouk_2019,Data Extraction,NA,NA,Health Sciences,Roshni,NA,2019,Yes,United States,Yes,Yes,empirical,2016,NA,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,NA,NA,NA,2_clinical practitioners,NA,NA,NA,5_longitudinal
Abramson_2009,Data Extraction,NA,NA,Legal,Scott,NA,2009,Yes,United States,No,NA,non-empirical,NA,No,NA,2,1_High Income,5_North America,a_opioids,999_other,1_people who use illegal drugs,NA,NA,NA
Abramson_2009,Data Extraction,NA,NA,Legal,Scott,NA,2009,Yes,United States,No,NA,non-empirical,NA,No,NA,2,NA,NA,d_cocaine,9090_Corrections management,3_women,NA,NA,NA
Abramson_2009,Data Extraction,NA,NA,Legal,Scott,NA,2009,Yes,United States,No,NA,non-empirical,NA,No,NA,2,NA,NA,NA,NA,5_indgenous,NA,NA,NA
Abramson_2009,Data Extraction,NA,NA,Legal,Scott,NA,2009,Yes,United States,No,NA,non-empirical,NA,No,NA,2,NA,NA,NA,NA,6_people who have been incarcerated,NA,NA,NA
Abramson_2009,Data Extraction,NA,NA,Legal,Scott,NA,2009,Yes,United States,No,NA,non-empirical,NA,No,NA,2,NA,NA,NA,NA,7_chronic opioid users,NA,NA,NA
Accurso_2016,Data Extraction,NA,NA,Health Sciences,Mina and Jane - Pilot,NA,2016,Yes,United States,No,NA,empirical,2013,NA,NA,2,1_High Income,5_North America,a_opioids,7_chronic opioid users,NA,4_cohort study,4_census,2_estimates of rates
Accurso_2016,Data Extraction,NA,NA,Health Sciences,Mina and Jane - Pilot,NA,2016,Yes,United States,No,NA,empirical,2013,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Aguiar_2016,Data Extraction,NA,NA,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,NA,empirical,2012,NA,Odds of being convicted for a new felony,2,1_High Income,5_North America,a_opioids,1_people who use illegal drugs,1_people who use illegal drugs,4_cohort study,1_adminstrative data,6_estimates of risk
Aguiar_2016,Data Extraction,NA,NA,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,NA,empirical,2012,NA,Odds of being convicted for a new felony,2,NA,NA,b_cannabis,6_people who have been incarcerated,6_people who have been incarcerated,NA,NA,NA
Aguiar_2016,Data Extraction,NA,NA,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,NA,empirical,2012,NA,Odds of being convicted for a new felony,2,NA,NA,c_meth,NA,NA,NA,NA,NA
Aguiar_2016,Data Extraction,NA,NA,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,NA,empirical,2012,NA,Odds of being convicted for a new felony,2,NA,NA,d_cocaine,NA,NA,NA,NA,NA
Aguiar_2016,Data Extraction,NA,NA,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,NA,empirical,2012,NA,Odds of being convicted for a new felony,2,NA,NA,e_benzo,NA,NA,NA,NA,NA
Aguiar_2016,Data Extraction,NA,NA,Social Sciences,Colleen,Zahra,2016,Yes,United States,No,NA,empirical,2012,NA,Odds of being convicted for a new felony,2,NA,NA,f_other,NA,NA,NA,NA,NA
Ahammer_2019,Data Extraction,NA,NA,Social Sciences,Jane,Zahra,2019,Yes,Austria,No,NA,empirical,2015,NA,Since 2012 public health officer must authorize and countersign all prescriptions of Flunitrazepam ( strong benzo) to prevent ODs with concurrent opioids,2,1_High Income,2_Europe & Central Asia,e_benzo,0_general pop,7_chronic opioid users,6_ecological,1_adminstrative data,2_estimates of rates
Ahammer_2019,Data Extraction,NA,NA,Social Sciences,Jane,Zahra,2019,Yes,Austria,No,NA,empirical,2015,NA,Since 2012 public health officer must authorize and countersign all prescriptions of Flunitrazepam ( strong benzo) to prevent ODs with concurrent opioids,2,NA,NA,NA,NA,NA,NA,NA,5_longitudinal
Aitken_2002,Data Extraction,NA,NA,Health Sciences,Trevor,NA,2002,Yes,Australia,No,NA,empirical,2000,NA,the operation discouraged safe injecting practice and safe disposal and increased the frequency of occurrences of violence,2,1_High Income,1_East Asia & Pacific,a_opioids,1_people who use illegal drugs,1_people who use illegal drugs,4_cohort study,2_qualitative,8_qualitative
Aitken_2002,Data Extraction,NA,NA,Health Sciences,Trevor,NA,2002,Yes,Australia,No,NA,empirical,2000,NA,the operation discouraged safe injecting practice and safe disposal and increased the frequency of occurrences of violence,2,NA,NA,NA,NA,NA,NA,NA,NA
Al Achkar_2018,Data Extraction,NA,NA,Health Sciences,Jane and Mina - Pilot,NA,2018,Yes,United States,Yes,No,empirical,2014,NA,Effect differed based on patient characteristics,2,1_High Income,5_North America,a_opioids,2_clinical practitioners,7_chronic opioid users,6_ecological,1_adminstrative data,2_estimates of rates
Al Achkar_2018,Data Extraction,NA,NA,Health Sciences,Jane and Mina - Pilot,NA,2018,Yes,United States,Yes,No,empirical,2014,NA,Effect differed based on patient characteristics,2,NA,NA,NA,NA,NA,NA,6_other studies,5_longitudinal
Alburaih_2018,Data Extraction,NA,NA,Health Sciences,Jane,Zahra,2018,Yes,United States,No,NA,empirical,2015,NA,Implemented at 4 rural EDs.,2,1_High Income,5_North America,a_opioids,9_people with chronic pain,9_people with chronic pain,5_cross sectional,4_census,2_estimates of rates
Alburaih_2018,Data Extraction,NA,NA,Health Sciences,Jane,Zahra,2018,Yes,United States,No,NA,empirical,2015,NA,Implemented at 4 rural EDs.,2,NA,NA,NA,NA,NA,NA,NA,NA
Aletraris_2017,Data Extraction,NA,NA,Social Sciences,Colleen,NA,2017,Yes,United States,No,NA,empirical,2014,NA,Only a significant increase in programs using oral and injectable naltrexone opposed to other drugs for OAT,2,1_High Income,5_North America,a_opioids,1_people who use illegal drugs,1_people who use illegal drugs,6_ecological,2_qualitative,0_descriptive
Aletraris_2017,Data Extraction,NA,NA,Social Sciences,Colleen,NA,2017,Yes,United States,No,NA,empirical,2014,NA,Only a significant increase in programs using oral and injectable naltrexone opposed to other drugs for OAT,2,NA,NA,b_cannabis,NA,NA,NA,3_survey,NA
Aletraris_2017,Data Extraction,NA,NA,Social Sciences,Colleen,NA,2017,Yes,United States,No,NA,empirical,2014,NA,Only a significant increase in programs using oral and injectable naltrexone opposed to other drugs for OAT,2,NA,NA,c_meth,NA,NA,NA,NA,NA
Aletraris_2017,Data Extraction,NA,NA,Social Sciences,Colleen,NA,2017,Yes,United States,No,NA,empirical,2014,NA,Only a significant increase in programs using oral and injectable naltrexone opposed to other drugs for OAT,2,NA,NA,d_cocaine,NA,NA,NA,NA,NA
Aletraris_2017,Data Extraction,NA,NA,Social Sciences,Colleen,NA,2017,Yes,United States,No,NA,empirical,2014,NA,Only a significant increase in programs using oral and injectable naltrexone opposed to other drugs for OAT,2,NA,NA,e_benzo,NA,NA,NA,NA,NA
Aletraris_2017,Data Extraction,NA,NA,Social Sciences,Colleen,NA,2017,Yes,United States,No,NA,empirical,2014,NA,Only a significant increase in programs using oral and injectable naltrexone opposed to other drugs for OAT,2,NA,NA,f_other,NA,NA,NA,NA,NA
