record_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,paper_type,name,dv_name,year_pub,country_yn,country,competing_interests_yn,competing_interests,empirical,year_study,appeal_yn,outcomes_yn,comments,data_extraction_form_complete,country_income,country_region,target_substance,population_specific,study_design,data_sources,analysis,policy_type,policies,policy_law_enforce,policy_harm,outcome_type,outcomes_treatment,impact_tfo,outcome,population_specific_affect,gov_level,impact_overdose,court_level,policy_criminal,policy_theme,impact_other,impact_crim,policy_legislative,outcomes_prescription,impact_pres_other,outcome_illegal,impact_idu,impact_ou,policy_social,impact_access,impact_dui_2,impact_other_2,impact_other_3,policy_clinical,policy_prescription,impact_opr,outcomes_non_pres,impact_non_pres_use,outcome_otc,impact_otc,outcome_infectious,impact_hiv,impact_health,impact_of_2,impact_of,impact_oa,impact_opb,impact_hepc,impact_infect_other,impact_non_pres_other,impact_dui,impact_non_pres_avail,impact_of_3,policy_international
Abadie_2018,data_extraction_arm_1,NA,NA,2,Mina and Jane - Pilot,NA,2018,1,190,0,NA,1,2016,NA,1,Strategy = War on Drugs,2,1_High Income,3_Latin America,a_opioids,1_people who use illegal drugs,4_cohort study,2_qualitative,8_qualitative,8_strategies,3_law enforcement,1_policing tactics,1_needle exchange/availability,3_substance use treatment,2_oat,2_decrease,9090_Incarceration & incarceration-related environments,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abadie_2018,data_extraction_arm_1,NA,NA,2,Mina and Jane - Pilot,NA,2018,1,190,0,NA,1,2016,NA,1,Strategy = War on Drugs,2,NA,NA,NA,6_people who have been incarcerated,NA,NA,9090_enthnographic inquiry,NA,4_harm reduction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abouk_2019,data_extraction_arm_1,NA,NA,1,Roshni,NA,2019,1,181,1,1,1,2016,NA,1,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,1_High Income,5_North America,a_opioids,0_general pop,6_ecological,1_adminstrative data,1_hypothesis testing,2_legislations,4_harm reduction,NA,9090_naloxone access laws,4_overdose rates,NA,NA,NA,0_general pop,2_NA,2_decrease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abouk_2019,data_extraction_arm_1,NA,NA,1,Roshni,NA,2019,1,181,1,1,1,2016,NA,1,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,NA,NA,NA,1_people who use illegal drugs,8_ecological geographic,NA,4_comparative,4_government policy,NA,NA,NA,NA,NA,NA,NA,1_people who use illegal drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abouk_2019,data_extraction_arm_1,NA,NA,1,Roshni,NA,2019,1,181,1,1,1,2016,NA,1,"includes naloxone access laws, standing orders and other programs.     decrease in fatal overdoses",2,NA,NA,NA,2_clinical practitioners,NA,NA,5_longitudinal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,data_extraction_arm_1,NA,NA,3,Scott,NA,2009,1,181,0,NA,2,NA,0,0,NA,2,1_High Income,5_North America,a_opioids,9090_Corrections management,NA,NA,NA,1_legal,1_criminal justice,NA,1_needle exchange/availability,NA,NA,NA,NA,1_people who use illegal drugs,1_NA,NA,1_NA,9090_Availability of harm reduction in corrections facilities,9090_International human rights treaties,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,data_extraction_arm_1,NA,NA,3,Scott,NA,2009,1,181,0,NA,2,NA,0,0,NA,2,NA,NA,d_cocaine,NA,NA,NA,NA,4_government policy,4_harm reduction,NA,NA,NA,NA,NA,NA,3_women,2_NA,NA,2_NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,data_extraction_arm_1,NA,NA,3,Scott,NA,2009,1,181,0,NA,2,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5_indgenous,NA,NA,3_NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,data_extraction_arm_1,NA,NA,3,Scott,NA,2009,1,181,0,NA,2,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6_people who have been incarcerated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,data_extraction_arm_1,NA,NA,3,Scott,NA,2009,1,181,0,NA,2,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7_chronic opioid users,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
