record_id,policy_type,policy_op,policy_specific,policy_specific_new,outcomes_yn,out_op,out_specific,out_code,out_code_name,impact_var,other_outcome,impact
Abadie_2018,8_strategies,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,2_decrease
Abadie_2018,8_strategies,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcome_type,999_other 1,999,other 1,impact_other,NA,999_unclear
Abadie_2018,8_strategies,policy_harm,1_needle exchange/availability,1_needle exchange/availability,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,2_decrease
Abadie_2018,8_strategies,policy_harm,1_needle exchange/availability,1_needle exchange/availability,1,outcome_type,999_other 1,999,other 1,impact_other,NA,999_unclear
Abouk_2019,2_legislations,policy_harm,9090_naloxone access laws,9090_naloxone_access_policies,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,2_decrease
Abouk_2019,4_government policy,policy_harm,9090_naloxone access laws,9090_naloxone_access_policies,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,2_decrease
Abramson_2009,1_legal,policy_harm,1_needle exchange/availability,1_needle exchange/availability,0,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,1_legal,policy_criminal,9090_Availability of harm reduction in corrections facilities,9090_Availability of harm reduction in corrections facilities,0,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,1_legal,policy_theme,9090_International human rights treaties,9090_International human rights treaties,0,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,4_government policy,policy_harm,1_needle exchange/availability,1_needle exchange/availability,0,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,4_government policy,policy_criminal,9090_Availability of harm reduction in corrections facilities,9090_Availability of harm reduction in corrections facilities,0,NA,NA,NA,NA,NA,NA,NA
Abramson_2009,4_government policy,policy_theme,9090_International human rights treaties,9090_International human rights treaties,0,NA,NA,NA,NA,NA,NA,NA
Accurso_2016,7_programs,policy_theme,9090_Private insurance coverage changes,9090_Private insurance coverage changes,1,outcomes_treatment,998_other 2,998,other 2,impact_of_2,NA,NA
Accurso_2016,7_programs,policy_theme,9090_Private insurance coverage changes,9090_Private insurance coverage changes,1,outcome_type,999_other 1,999,other 1,impact_other,NA,1_increase
Aguiar_2016,2_legislations,policy_criminal,9090_Parenting Sentencing Alternative,9090_Parenting Sentencing Alternative,1,outcome_type,5_criminal activity,5,criminal activity,impact_crim,NA,2_decrease
Ahammer_2019,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,999_other 1,999,other 1,impact_pres_other,NA,2_decrease
Ahammer_2019,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,999_other 1,999,other 1,impact_pres_other,NA,3_beneficial
Aitken_2002,7_programs,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcome_illegal,1_injection drug use,1,injection drug use,impact_idu,NA,4_detrimental
Aitken_2002,7_programs,policy_law_enforce,1_policing tactics,1_policing tactics,1,outcome_type,999_other 1,999,other 1,impact_other,NA,4_detrimental
Aitken_2002,7_programs,policy_law_enforce,2_police presence,2_police presence,1,outcome_illegal,1_injection drug use,1,injection drug use,impact_idu,NA,4_detrimental
Aitken_2002,7_programs,policy_law_enforce,2_police presence,2_police presence,1,outcome_type,999_other 1,999,other 1,impact_other,NA,4_detrimental
Al Achkar_2018,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,5_opioid prescription fills,5,opioid prescription fills,impact_ou,NA,2_decrease
Alburaih_2018,7_programs,policy_theme,9090_Standardised pain contract,9090_Standardised pain contract,1,outcome_type,9090_ED attendance,999,other 1,impact_other,9090_ED attendance,2_decrease
Alburaih_2018,7_programs,policy_theme,9090_Standardised pain contract,9090_Standardised pain contract,1,outcome_type,9090_ED attendance,999,other 1,impact_other,9090_ED attendance,3_beneficial
Aletraris_2017,2_legislations,policy_social,2_medical insurance changes,2_medical insurance changes,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Aletraris_2017,2_legislations,policy_social,2_medical insurance changes,2_medical insurance changes,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,1_increase
Aletraris_2017,2_legislations,policy_social,2_medical insurance changes,2_medical insurance changes,1,outcome_type,999_other 1,999,other 1,impact_other,NA,1_increase
Alexander_2014,2_legislations,policy_criminal,9090_Punitive charges for drug use while pregnant (specifically assault on fetus),9090_pregnancy_related_drug_charges,1,outcomes_treatment,1_access,1,access,impact_access,NA,0_no change
Alexander_2014,2_legislations,policy_criminal,9090_Punitive charges for drug use while pregnant (specifically assault on fetus),9090_pregnancy_related_drug_charges,1,outcome_type,997_other 3,997,other 3,impact_other_3,NA,4_detrimental
Alexander_2014,2_legislations,policy_criminal,9090_Punitive charges for drug use while pregnant (specifically assault on fetus),9090_pregnancy_related_drug_charges,1,outcome_type,998_other 2,998,other 2,impact_other_2,NA,2_decrease
Alexander_2014,2_legislations,policy_criminal,9090_Punitive charges for drug use while pregnant (specifically assault on fetus),9090_pregnancy_related_drug_charges,1,outcome_type,998_other 2,998,other 2,impact_other_2,NA,4_detrimental
Alexander_2014,2_legislations,policy_criminal,9090_Punitive charges for drug use while pregnant (specifically assault on fetus),9090_pregnancy_related_drug_charges,1,outcome_type,9090_3_effect of incarceration of mother on child,999,other 1,impact_other,9090_3_effect of incarceration of mother on child,1_increase
Alexander_2014,2_legislations,policy_criminal,9090_Punitive charges for drug use while pregnant (specifically assault on fetus),9090_pregnancy_related_drug_charges,1,outcome_illegal,999_other 1,999,other 1,impact_dui_2,NA,0_no change
Alexandridis_2018,8_strategies,policy_harm,9090_naloxone distribution,9090_naloxone_access_policies,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,2_decrease
Alexandridis_2018,8_strategies,policy_harm,9090_naloxone distribution,9090_naloxone_access_policies,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,999_unclear
Alexandridis_2018,8_strategies,policy_theme,9090_Education providers,9090_Education providers,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,2_decrease
Alexandridis_2018,8_strategies,policy_theme,9090_Education providers,9090_Education providers,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,999_unclear
Alexandridis_2018,8_strategies,policy_clinical,2_availability of OAT - provider - doctors,2_availability of OAT - provider - doctors,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,2_decrease
Alexandridis_2018,8_strategies,policy_clinical,2_availability of OAT - provider - doctors,2_availability of OAT - provider - doctors,1,outcome_type,4_overdose rates,4,overdose rates,impact_overdose,NA,999_unclear
Alexandridis_2019,2_legislations,policy_harm,9090_naloxone policies,9090_naloxone_access_policies,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,2_legislations,policy_harm,9090_naloxone policies,9090_naloxone_access_policies,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,2_legislations,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,2_legislations,policy_social,9090_Support programs,9090_Support programs,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,2_legislations,policy_social,9090_Support programs,9090_Support programs,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,2_legislations,policy_social,9090_2_Education programs,9090_2_Education programs,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,2_legislations,policy_social,9090_2_Education programs,9090_2_Education programs,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,2_legislations,policy_clinical,1_availability of OAT,1_availability of OAT,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,2_legislations,policy_clinical,1_availability of OAT,1_availability of OAT,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,2_legislations,policy_clinical,6_opioid prescribing standards - provider - pharmacist,6_opioid prescribing standards - provider - pharmacist,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,2_legislations,policy_clinical,6_opioid prescribing standards - provider - pharmacist,6_opioid prescribing standards - provider - pharmacist,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,2_legislations,policy_prescription,9090_diversion control,9090_diversion,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,2_legislations,policy_prescription,9090_diversion control,9090_diversion,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,7_programs,policy_harm,9090_naloxone policies,9090_naloxone_access_policies,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,7_programs,policy_harm,9090_naloxone policies,9090_naloxone_access_policies,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,7_programs,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,7_programs,policy_legislative,1_regulation of prescription drugs,1_regulation of prescription drugs,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,7_programs,policy_social,9090_Support programs,9090_Support programs,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,7_programs,policy_social,9090_Support programs,9090_Support programs,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,7_programs,policy_social,9090_2_Education programs,9090_2_Education programs,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
Alexandridis_2019,7_programs,policy_social,9090_2_Education programs,9090_2_Education programs,1,outcomes_treatment,2_oat,2,oat,impact_tfo,NA,0_no change
Alexandridis_2019,7_programs,policy_clinical,1_availability of OAT,1_availability of OAT,1,outcomes_prescription,1_opioid prescribing rates,1,opioid prescribing rates,impact_opr,NA,0_no change
