record_id,policy_type,policy_op,policy_specific
Abadie_2018,8_strategies,policy_law_enforce,1_policing tactics
Abadie_2018,8_strategies,policy_harm,1_needle exchange/availability
Abouk_2019,2_legislations,policy_harm,9090_naloxone access laws
Abouk_2019,4_government policy,policy_harm,9090_naloxone access laws
Abramson_2009,1_legal,policy_harm,1_needle exchange/availability
Abramson_2009,1_legal,policy_criminal,9090_Availability of harm reduction in corrections facilities
Abramson_2009,1_legal,policy_theme,9090_International human rights treaties
Abramson_2009,4_government policy,policy_harm,1_needle exchange/availability
Abramson_2009,4_government policy,policy_criminal,9090_Availability of harm reduction in corrections facilities
Abramson_2009,4_government policy,policy_theme,9090_International human rights treaties
Accurso_2016,7_programs,policy_theme,9090_Private insurance coverage changes
Aguiar_2016,2_legislations,policy_criminal,9090_Parenting Sentencing Alternative
Ahammer_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Aitken_2002,7_programs,policy_law_enforce,1_policing tactics
Aitken_2002,7_programs,policy_law_enforce,2_police presence
Al Achkar_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
Alburaih_2018,7_programs,policy_theme,9090_Standardised pain contract
Aletraris_2017,2_legislations,policy_social,2_medical insurance changes
Alexander_2014,2_legislations,policy_criminal,9090_Punitive charges for drug use while pregnant (specifically assault on fetus)
Alexandridis_2018,8_strategies,policy_harm,9090_naloxone distribution
Alexandridis_2018,8_strategies,policy_theme,9090_Education providers
Alexandridis_2018,8_strategies,policy_clinical,2_availability of OAT - provider - doctors
Alexandridis_2019,2_legislations,policy_harm,9090_naloxone policies
Alexandridis_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Alexandridis_2019,2_legislations,policy_social,9090_Support programs
Alexandridis_2019,2_legislations,policy_social,9090_2_Education programs
Alexandridis_2019,2_legislations,policy_clinical,1_availability of OAT
Alexandridis_2019,2_legislations,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Alexandridis_2019,2_legislations,policy_prescription,9090_diversion control
Alexandridis_2019,7_programs,policy_harm,9090_naloxone policies
Alexandridis_2019,7_programs,policy_legislative,1_regulation of prescription drugs
Alexandridis_2019,7_programs,policy_social,9090_Support programs
Alexandridis_2019,7_programs,policy_social,9090_2_Education programs
Alexandridis_2019,7_programs,policy_clinical,1_availability of OAT
Alexandridis_2019,7_programs,policy_clinical,6_opioid prescribing standards - provider - pharmacist
Alexandridis_2019,7_programs,policy_prescription,9090_diversion control
Ali_2017,2_legislations,policy_legislative,1_regulation of prescription drugs
Allen_2016,4_government policy,policy_harm,1_needle exchange/availability
Allen_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Almarsdottir_2000,2_legislations,policy_legislative,9090_liberalizing community pharmacy ownership
Alpert_2017,3_regulation,policy_prescription,2_changes in drug formulation
Alsirafy_2011,2_legislations,policy_clinical,5_opioid prescribing standards - provider - doctor
Anders_2019,2_legislations,policy_legislative,4_legalization
Anders_2019,2_legislations,policy_social,2_medical insurance changes
Andraka-Christou_2016,2_legislations,policy_criminal,1_drug courts
Andraka-Christou_2016,2_legislations,policy_clinical,1_availability of OAT
Andraka-Christou_2016,7_programs,policy_criminal,1_drug courts
Andraka-Christou_2016,7_programs,policy_clinical,1_availability of OAT
Andraka-Christou_2016a,2_legislations,policy_clinical,1_availability of OAT
Andraka-Christou_2016a,3_regulation,policy_clinical,1_availability of OAT
Andraka-Christou_2017,2_legislations,policy_criminal,1_drug courts
Andraka-Christou_2017,2_legislations,policy_social,9090_mandated counseling
Andraka-Christou_2017,2_legislations,policy_clinical,1_availability of OAT
Andraka-Christou_2017,7_programs,policy_criminal,1_drug courts
Andraka-Christou_2017,7_programs,policy_social,9090_mandated counseling
Andraka-Christou_2017,7_programs,policy_clinical,1_availability of OAT
Andresen_2009,7_programs,policy_harm,3_SIS
Andrews_2014,3_regulation,policy_social,2_medical insurance changes
Andrews_2018,3_regulation,policy_clinical,1_availability of OAT
Andrews_2019,2_legislations,policy_social,2_medical insurance changes
Andrews_2019_2,2_legislations,policy_social,2_medical insurance changes
Angelotta_2016,1_legal,policy_criminal,9090_Court referral for substance use treatment
Angelotta_2016,1_legal,policy_legislative,9090_Prenatal child abuse laws for women who use illicit drugs during pregnancy
Angelotta_2016,2_legislations,policy_criminal,9090_Court referral for substance use treatment
Angelotta_2016,2_legislations,policy_legislative,9090_Prenatal child abuse laws for women who use illicit drugs during pregnancy
Angelotta_2017,1_legal,policy_criminal,2_punitive charges
Angelotta_2017,1_legal,policy_criminal,9090_Substance use while pregnant
Anglin_2013,2_legislations,policy_criminal,1_drug courts
Anglin_2013_2,2_legislations,policy_criminal,1_drug courts
Arredondo_2018,4_government policy,policy_law_enforce,1_policing tactics
Arredondo_2018,4_government policy,policy_legislative,3_decriminalization
Asher_2013,7_programs,policy_clinical,1_availability of OAT
Atkins_2018,2_legislations,policy_legislative,5_first responders
Aubrun_2007,3_regulation,policy_prescription,3_withdraw drug
Auerhahn_2004,2_legislations,policy_criminal,1_drug courts
Ayres_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
Azrin_2007,2_legislations,policy_social,2_medical insurance changes
Azzone_2011,2_legislations,policy_social,2_medical insurance changes
Bachhuber_2014,2_legislations,policy_legislative,4_legalization
Bachhuber_2018,2_legislations,policy_social,2_medical insurance changes
Bachhuber_2019,2_legislations,policy_legislative,1_regulation of prescription drugs
Baicker_2017,2_legislations,policy_social,2_medical insurance changes
Bammer_2000,7_programs,policy_clinical,1_availability of OAT
Bao_2016,2_legislations,policy_legislative,1_regulation of prescription drugs
Bao_2018,2_legislations,policy_theme,9090_Data sharing program
Bao_2018,2_legislations,policy_legislative,1_regulation of prescription drugs
